name,prefecture,city,website_url,latitude,longitude,source,source_id,wikipedia_title,discontinued
ひとよし春風マラソン,熊本県,,,,,wikipedia,Q17229946,ひとよし春風マラソン,0
びわ湖毎日マラソン,東京都,,https://www.lakebiwa-marathon.com/,,,wikipedia,Q596830,びわ湖毎日マラソン,1
ふくしま駅伝,福島県,,,,,wikipedia,Q11276987,ふくしま駅伝,0
ほらどキウイマラソン,岐阜県,,,,,wikipedia,Q11277849,ほらどキウイマラソン,0
まつえレディースハーフマラソン,島根県,,,,,wikipedia,Q11278396,まつえレディースハーフマラソン,0
みかた残酷マラソン全国大会,兵庫県,,,,,wikipedia,Q11278776,みかた残酷マラソン全国大会,0
みっきぃふれあいマラソン,兵庫県,,,,,wikipedia,Q11279002,みっきぃふれあいマラソン,0
みんなのMAEMUKI駅伝,,,,,,wikipedia,Q17217684,みんなのMAEMUKI駅伝,0
よこすかシーサイドマラソン,神奈川県,,,,,wikipedia,Q24886902,よこすかシーサイドマラソン,0
りんくうリレーマラソン,大阪府,,,,,wikipedia,Q17214277,りんくうリレーマラソン,0
カーター記念黒部名水マラソン,富山県,,,,,wikipedia,Q97219576,カーター記念黒部名水マラソン,0
ギフチョウの里〜ひだ金山清流マラソン大会,岐阜県,,,,,wikipedia,Q11298123,ギフチョウの里〜ひだ金山清流マラソン大会,0
サロマ湖100キロウルトラマラソン,北海道,,https://saromanblue.jp/,,,wikipedia,Q1668675,サロマ湖100キロウルトラマラソン,0
シティマラソン福岡,福岡県,,,,,wikipedia,Q11307316,シティマラソン福岡,1
トカラ列島島めぐりマラソン大会,鹿児島県,,,,,wikipedia,Q11321137,トカラ列島島めぐりマラソン大会,0
ピンネシリ登山マラソン,北海道,,,,,wikipedia,Q131919948,ピンネシリ登山マラソン,1
ベーダー駅伝競走大会,山形県,,,,,wikipedia,Q134893148,ベーダー駅伝競走大会,0
マラソングランドチャンピオンシップ,,,https://www.mgc42195.jp/,,,wikipedia,Q48747991,マラソングランドチャンピオンシップ,0
マラソンフェスティバル ナゴヤ・愛知,愛知県,,https://www.tokai-tv.com/nwm/,,,wikipedia,Q11340947,マラソンフェスティバル ナゴヤ・愛知,0
ヨロンマラソン,鹿児島県,,,,,wikipedia,Q11346175,ヨロンマラソン,0
下関海響マラソン,山口県,,,,,wikipedia,Q11361466,下関海響マラソン,0
世田谷246ハーフマラソン,東京都,,,,,wikipedia,Q24872330,世田谷246ハーフマラソン,0
中国中学校駅伝競走大会,広島県,,,,,wikipedia,Q97212220,中国中学校駅伝競走大会,0
中国四国学生駅伝競走大会,山口県,,,,,wikipedia,Q28689785,中国四国学生駅伝競走大会,0
中国山口駅伝,山口県,,,,,wikipedia,Q11363386,中国山口駅伝,1
中国駅伝,広島県,,,,,wikipedia,Q11363458,中国駅伝,1
中学生「東京駅伝」大会,東京都,,,,,wikipedia,Q48765580,中学生「東京駅伝」大会,0
中部・北陸実業団対抗駅伝競走大会,岐阜県,,,,,wikipedia,Q17214388,中部・北陸実業団対抗駅伝競走大会,0
丹波篠山ABCマラソン大会,兵庫県,,,,,wikipedia,Q11603673,丹波篠山ABCマラソン大会,0
久米島マラソン,沖縄県,,,,,wikipedia,Q11369595,久米島マラソン,0
九州実業団対抗女子駅伝競走大会,福岡県,,,,,wikipedia,Q11370233,九州実業団対抗女子駅伝競走大会,1
九州実業団毎日駅伝競走大会,大分県,,,,,wikipedia,Q11370234,九州実業団毎日駅伝競走大会,0
京都シティハーフマラソン,京都府,,,,,wikipedia,Q11374803,京都シティハーフマラソン,1
京都マラソン,京都府,,https://kyoto-marathon.com/,,,wikipedia,Q11374825,京都マラソン,0
京都学生駅伝競走大会,京都府,,,,,wikipedia,Q17213024,京都学生駅伝競走大会,0
京都市小学校大文字駅伝大会,京都府,,,,,wikipedia,,京都市小学校大文字駅伝大会,0
